2021-05-07 16:40:02,423 stock_history INFO     HTMLSession created.
2021-05-07 16:46:38,814 root WARNING  OSUR exists, {'Company': 'OraSure Technologies, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.04, 'Reported EPS': 0.05, 'Surprise(%)': 13.64, 'Earnings Date': '2021-05-04'} data overwritten OraSure Technologies, Inc. Time Not Supplied 0.04 0.05 +13.64
2021-05-07 16:46:38,814 root WARNING  NI exists, {'Company': 'NiSource Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.77, 'Reported EPS': 0.77, 'Surprise(%)': -0.26, 'Earnings Date': '2021-05-04'} data overwritten NiSource Inc. Time Not Supplied 0.77 0.77 -0.26
2021-05-07 16:46:38,814 root WARNING  NUVA exists, {'Company': 'NuVasive, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.35, 'Reported EPS': 0.37, 'Surprise(%)': 5.71, 'Earnings Date': '2021-05-04'} data overwritten NuVasive, Inc. Time Not Supplied 0.35 0.37 +5.71
2021-05-07 16:46:38,814 root WARNING  RIGL exists, {'Company': 'Rigel Pharmaceuticals, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.01, 'Reported EPS': 0.22, 'Surprise(%)': 4300.0, 'Earnings Date': '2021-05-04'} data overwritten Rigel Pharmaceuticals, Inc. Time Not Supplied 0.01 0.22 +4300
2021-05-07 16:46:39,981 root WARNING  AQST exists, {'Company': 'Aquestive Therapeutics, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -0.43, 'Reported EPS': -0.41, 'Surprise(%)': 3.76, 'Earnings Date': '2021-05-03'} data overwritten Aquestive Therapeutics Inc TAS -0.43 -0.41 +4.65
2021-05-07 16:46:39,983 root WARNING  HBP exists, {'Company': 'Huttig Building Products Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-04'} data overwritten Huttig Building Products Inc TAS - - -
2021-05-07 16:46:39,985 root WARNING  CVGI exists, {'Company': 'Commercial Vehicle Group Inc', 'Earnings Call Time': 'Before Market Open', 'EPS Estimate': 0.07, 'Reported EPS': 0.27, 'Surprise(%)': 285.71, 'Earnings Date': '2021-05-05'} data overwritten Commercial Vehicle Group, Inc. Time Not Supplied 0.07 0.27 +285.71
2021-05-07 16:46:41,075 root WARNING  H exists, {'Company': 'Hyatt Hotels Corporation', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -1.3, 'Reported EPS': -5.48, 'Surprise(%)': -320.89, 'Earnings Date': '2021-05-03'} data overwritten Hyatt Hotels Corporation Time Not Supplied -1.3 -5.48 -320.89
2021-05-07 16:46:41,076 root WARNING  EXAS exists, {'Company': 'Exact Sciences Corporation', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -1.03, 'Reported EPS': -0.18, 'Surprise(%)': 82.51, 'Earnings Date': '2021-05-03'} data overwritten Exact Sciences Corporation Time Not Supplied -1.03 -0.18 +82.51
2021-05-07 16:46:41,076 root WARNING  EXTN exists, {'Company': 'Exterran Corporation', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -0.76, 'Reported EPS': -0.86, 'Surprise(%)': -13.61, 'Earnings Date': '2021-05-03'} data overwritten Exterran Corporation Time Not Supplied -0.76 -0.86 -13.61
